Object Name,Exported Object Count,Object Count Identified For Import,Import Objects Count,Failed Objects Count
edist_oh_primary,788,777,777,0
edist_primary_wire,1967,1969,1969,0
edist_ug_primary,244,13,13,0
edist_primary_cable,414,2,2,0
edist_ug_secondary,0,0,0,0
edist_oh_secondary,0,0,0,0
edist_secondary_wire,0,0,0,0
edist_pole,767,765,765,0
edist_pole_attachment,958,0,0,0
edist_anchor_guy,245,5,5,0
edist_riser,0,0,0,0
edist_oh_transformer_bank,243,243,243,0
edist_oh_transformer_unit,316,318,318,0
edist_ug_transformer,153,152,152,0
edist_ug_transformer_unit,156,51,51,0
land_lot_centroid,2402,2179,2179,0
edist_pedestal,2,0,0,0
distributed_generation,42,47,47,0
edist_area_light,59,1,1,0
edist_brace,0,0,0,0
edist_capacitor_rack,4,5,5,0
edist_cogeneration,0,0,0,0
edist_switching_facility,14,15,15,0
edist_fault_indicator,0,0,0,0
edist_oh_ato,0,0,0,0
electric_xy,869,16,16,0
edist_primary_structure_node,1096,27,27,0
edist_secondary_structure_node,1004,2,2,0
edist_oh_fuse,117,119,119,0
edist_oh_fuse_unit,224,29,29,0
edist_primary_meter,1,1,1,0
edist_primary_open_point,16,17,17,0
edist_primary_splice,4,0,0,0
edist_recloser_bank,3,3,3,0
edist_recloser_unit,3,7,7,0
edist_regulator_bank,0,0,0,0
edist_secondary_open_point,0,0,0,0
edist_sectionalizer_bank,1,1,1,0
edist_sectionalizer_unit,3,1,1,0
edist_ug_service,0,0,0,0
edist_oh_service,0,0,0,0
edist_service_wire,0,0,0,0
edist_splice_box,0,0,0,0
edist_step_transformer_bank,0,0,0,0
edist_street_light,118,4,4,0
edist_ug_ato,0,0,0,0
edist_h_fixture,0,0,0,0
edist_ug_switch,26,0,0,0
edist_ug_fuse,33,0,0,0
edist_nonmetered_facility,0,0,0,0
edist_oh_switch,14,17,17,0
edist_oh_switch_unit,42,7,7,0
edist_secondary_transformer,0,0,0,0
edist_pad,130,0,0,0
