Table Name,ID,Parent ID,Change Type,Attribute,Original Value,New Value
Primary Wire,217416248,217416245,UPDATE,phase,C,A
Audit History,165203168,N/A,INSERT,,,
Audit History,165196766,N/A,INSERT,,,
Audit History,165196978,N/A,INSERT,,,
Audit History,165201289,N/A,INSERT,,,
Audit History,165201385,N/A,INSERT,,,
OH Primary,217516382,N/A,UPDATE,calculated_length,122.1,unset
OH Primary,217516382,N/A,UPDATE,installed_length,121,153
OH Primary,217516382,N/A,UPDATE,phase_designation,C,A
OH Primary,217516382,N/A,UPDATE,phase_orientation,C,A
OH Primary,217516382,N/A,GEOM UPDATE,route,chain (1),"chain (2) - Length Changed 84' 9.75"""
OH Primary,248916523,N/A,UPDATE,installed_length,118.5,126
Audit History,165201883,N/A,INSERT,,,
Audit History,165201915,N/A,INSERT,,,
Audit History,165196762,N/A,INSERT,,,
Audit History,165202667,N/A,INSERT,,,
Audit History,165202822,N/A,INSERT,,,
Audit History,165202854,N/A,INSERT,,,
Audit History,165202886,N/A,INSERT,,,
Audit History,165202918,N/A,INSERT,,,
Audit History,165202385,N/A,INSERT,,,
Audit History,165202945,N/A,INSERT,,,
Audit History,165202977,N/A,INSERT,,,
Audit History,165203009,N/A,INSERT,,,
Audit History,165202444,N/A,INSERT,,,
Audit History,165202476,N/A,INSERT,,,
Audit History,165202508,N/A,INSERT,,,
Audit History,165202540,N/A,INSERT,,,
Audit History,165201007,N/A,INSERT,,,
Audit History,165201103,N/A,INSERT,,,
Audit History,165202694,N/A,INSERT,,,
Audit History,165202727,N/A,INSERT,,,
Audit History,165202759,N/A,INSERT,,,
Audit History,165202791,N/A,INSERT,,,
Audit History,165202103,N/A,INSERT,,,
Primary Wire,217500440,217500439,UPDATE,status,Existing,Deleted
Primary Wire,248916434,248916414,UPDATE,status,Existing,Deleted
Audit History,165202418,N/A,INSERT,,,
Audit History,165203170,N/A,INSERT,,,
Audit History,165201354,N/A,INSERT,,,
Audit History,165200019,N/A,INSERT,,,
Audit History,165203041,N/A,INSERT,,,
Audit History,165203073,N/A,INSERT,,,
Audit History,165203105,N/A,INSERT,,,
Audit History,165203137,N/A,INSERT,,,
Audit History,165202669,N/A,INSERT,,,
Audit History,165198421,N/A,INSERT,,,
Audit History,165199237,N/A,INSERT,,,
Audit History,165198087,N/A,INSERT,,,
OH Primary,389833249,N/A,UPDATE,installed_length,230,222
OH Primary,389833249,N/A,UPDATE,phase_orientation,ABC,CBA
Audit History,165200059,N/A,INSERT,,,
OH Transformer Bank Unit,235905818,235905807,UPDATE,phase,C,A
Audit History,165202696,N/A,INSERT,,,
Audit History,165202824,N/A,INSERT,,,
Audit History,165202856,N/A,INSERT,,,
Audit History,165200821,N/A,INSERT,,,
Audit History,165200725,N/A,INSERT,,,
Primary Wire,217409595,217409593,UPDATE,status,Existing,Deleted
Audit History,165202572,N/A,INSERT,,,
Audit History,165202604,N/A,INSERT,,,
Audit History,165202636,N/A,INSERT,,,
Audit History,165202195,N/A,INSERT,,,
Audit History,165202355,N/A,INSERT,,,
Audit History,165202387,N/A,INSERT,,,
Audit History,165202227,N/A,INSERT,,,
Audit History,165201694,N/A,INSERT,,,
Audit History,165201726,N/A,INSERT,,,
Audit History,165201790,N/A,INSERT,,,
Audit History,165201822,N/A,INSERT,,,
Pole,389833346,N/A,UPDATE,framing_type,Unknown,Horizontal Center Phase High
Audit History,165202193,N/A,INSERT,,,
Audit History,165202225,N/A,INSERT,,,
Audit History,165202257,N/A,INSERT,,,
Audit History,165202135,N/A,INSERT,,,
Audit History,165202167,N/A,INSERT,,,
Audit History,165198097,N/A,INSERT,,,
Audit History,165202137,N/A,INSERT,,,
Audit History,165202169,N/A,INSERT,,,
Audit History,165202105,N/A,INSERT,,,
Primary Wire,248916372,248916348,UPDATE,status,Existing,Deleted
Primary Wire,248916404,248916382,UPDATE,status,Existing,Deleted
Audit History,165202420,N/A,INSERT,,,
Audit History,165203172,N/A,INSERT,,,
Audit History,165200603,N/A,INSERT,,,
Audit History,165201759,N/A,INSERT,,,
Audit History,165201887,N/A,INSERT,,,
Audit History,165201919,N/A,INSERT,,,
Audit History,165198987,N/A,INSERT,,,
Audit History,165201692,N/A,INSERT,,,
Audit History,165201788,N/A,INSERT,,,
Audit History,165201820,N/A,INSERT,,,
OH Primary,217394710,N/A,UPDATE,installed_length,222,226
