Object Name,Object Id,Feeder Name,Child Object,Child ID,Remarks
OH Primary,220389304,DAKO1581,,,
OH Primary,122912910,DAKO1581,,,
OH Primary,216821421,DAKO1581,,,
OH Primary,216821083,DAKO1581,,,
OH Primary,410071138,DAKO1581,,,
OH Primary,216964582,DAKO1581,,,
OH Primary,220047108,DAKO1581,,,
OH Primary,220551858,DAKO1581,,,
OH Primary,216931342,DAKO1581,,,
OH Primary,220389304,DAKO1581,Primary Wire,220389305,
OH Primary,220389304,DAKO1581,Primary Wire,220389306,
OH Primary,220389304,DAKO1581,Primary Wire,220389307,
OH Primary,220389304,DAKO1581,Primary Wire,220389308,
OH Primary,216964582,DAKO1581,Primary Wire,216964583,
OH Primary,216964582,DAKO1581,Primary Wire,216964584,
OH Primary,220047108,DAKO1581,Primary Wire,476833141,
OH Primary,122912910,DAKO1581,Primary Wire,122912916,
OH Primary,216964582,DAKO1581,Primary Wire,216964585,
OH Primary,122912910,DAKO1581,Primary Wire,122912917,
OH Primary,122912910,DAKO1581,Primary Wire,122912918,
OH Primary,122912910,DAKO1581,Primary Wire,122912919,
OH Primary,216954391,DAKO1581,Primary Wire,216954395,
OH Primary,220551858,DAKO1581,Primary Wire,476834932,
OH Primary,220551858,DAKO1581,Primary Wire,476834933,
OH Primary,220551858,DAKO1581,Primary Wire,476834934,
OH Primary,216821083,DAKO1581,Primary Wire,216821084,
OH Primary,216956949,DAKO1581,Primary Wire,216956951,
OH Primary,216957400,DAKO1581,Primary Wire,216957401,
OH Primary,216957400,DAKO1581,Primary Wire,216957403,
OH Primary,220047108,DAKO1581,Primary Wire,220047110,
OH Primary,216954418,DAKO1581,Primary Wire,216954422,
OH Primary,216931342,DAKO1581,Primary Wire,216931343,
OH Primary,216931342,DAKO1581,Primary Wire,216931344,
OH Primary,216931342,DAKO1581,Primary Wire,216931345,
OH Primary,216957351,DAKO1581,Primary Wire,475912586,
OH Primary,216957310,DAKO1581,Primary Wire,475912587,
OH Primary,216821421,DAKO1581,Primary Wire,216821422,
OH Primary,410071138,DAKO1581,Primary Wire,410071150,
OH Primary,216954478,DAKO1581,Primary Wire,216954482,
OH Primary,410071138,DAKO1581,Primary Wire,410071152,
OH Primary,216956949,DAKO1581,Primary Wire,216956952,
OH Primary,410071138,DAKO1581,Primary Wire,410071154,
OH Primary,220047108,DAKO1581,Primary Wire,220047109,
OH Primary,410071138,DAKO1581,Primary Wire,410071156,
OH Primary,67931213,DAKO1581,Primary Wire,67931239,
OH Primary,216954497,DAKO1581,Primary Wire,216954501,
OH Primary,216954418,DAKO1581,Primary Wire,216954420,
OH Primary,216954168,DAKO1581,Primary Wire,216954172,
