Object Name,Object Id,Feeder Name,Child Object,Child ID,Remarks,Cyient Comments
OH Primary,438557629,SHER2013,,,,
OH Primary,215465573,SHER2013,,,,
OH Primary,438399386,SHER2013,,,,
OH Primary,215465597,SHER2013,,,,
OH Primary,215373838,SHER2013,,,,
OH Primary,215461344,SHER2013,,,,
OH Primary,445289677,SHER2013,,,,
OH Primary,118339815,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Primary,248997200,SHER2013,,,,
OH Primary,215467279,SHER2013,,,,
OH Primary,215467279,SHER2013,Primary Wire,215467280,,
OH Primary,438399386,SHER2013,Primary Wire,438399398,,
OH Primary,441688903,SHER2013,Primary Wire,441688915,,
OH Primary,441689022,SHER2013,Primary Wire,441689034,,
OH Primary,455980577,SHER2013,Primary Wire,455980589,,
OH Primary,215466012,SHER2013,Primary Wire,215466014,,
OH Primary,441768768,SHER2013,Primary Wire,441768780,,
OH Primary,248997200,SHER2013,Primary Wire,248997212,,
OH Primary,248997200,SHER2013,Primary Wire,248997213,,
OH Primary,474841865,SHER2013,Primary Wire,474841879,,
OH Primary,441768064,SHER2013,Primary Wire,441768076,,
OH Primary,441768419,SHER2013,Primary Wire,441768431,,
OH Primary,215465597,SHER2013,Primary Wire,215465598,,
OH Primary,215465573,SHER2013,Primary Wire,215465574,,
OH Primary,441768724,SHER2013,Primary Wire,441768736,,
OH Primary,441767888,SHER2013,Primary Wire,441767900,,
OH Primary,441768864,SHER2013,Primary Wire,441768876,,
OH Primary,215461344,SHER2013,Primary Wire,215461345,,
OH Primary,215461344,SHER2013,Primary Wire,215461347,,
OH Primary,441768307,SHER2013,Primary Wire,441768319,,
OH Primary,448332752,SHER2013,Primary Wire,448332764,,
OH Primary,215461344,SHER2013,Primary Wire,476784415,,
OH Primary,445289677,SHER2013,Primary Wire,445289689,,
OH Primary,441767964,SHER2013,Primary Wire,441767976,,
OH Primary,221509449,SHER2013,Primary Wire,221509453,,
OH Primary,441688790,SHER2013,Primary Wire,441688802,,
OH Primary,436263457,SHER2013,Primary Wire,436263464,,
OH Primary,215465525,SHER2013,Primary Wire,476784498,,
OH Primary,441767926,SHER2013,Primary Wire,441767938,,
OH Primary,438399386,SHER2013,Primary Wire,438399400,,
OH Primary,438399386,SHER2013,Primary Wire,438399402,,
OH Primary,441689202,SHER2013,Primary Wire,441689214,,
OH Primary,438399386,SHER2013,Primary Wire,438399404,,
OH Primary,441768910,SHER2013,Primary Wire,441768922,,
OH Primary,441768166,SHER2013,Primary Wire,441768178,,
OH Primary,221509568,SHER2013,Primary Wire,221509570,,
Primary Wire,118339826,SHER2013,,,Error: No Record found for this ID,Merge down issue
OH Primary,445289677,SHER2013,Primary Wire,445289691,,
OH Primary,441768637,SHER2013,Primary Wire,441768649,,
OH Primary,215373838,SHER2013,Primary Wire,476783299,,
OH Primary,221509649,SHER2013,Primary Wire,221509651,,
OH Primary,221509728,SHER2013,Primary Wire,221509730,,
OH Primary,445289677,SHER2013,Primary Wire,445289695,,
OH Primary,221509479,SHER2013,Primary Wire,221509481,,
OH Primary,445289677,SHER2013,Primary Wire,445289693,,
OH Primary,441768002,SHER2013,Primary Wire,441768014,,
OH Primary,221509434,SHER2013,Primary Wire,221509438,,
Pole,229026305,SHER2013,,,,
Pole,229027084,SHER2013,,,,
Pole,443609355,SHER2013,,,,
Pole,229025602,SHER2013,,,,
Pole,229024315,SHER2013,,,,
Pole,229026091,SHER2013,,,,
