Table Name,ID,Parent ID,Change Type,Attribute,Original Value,New Value
Pole,229023469,N/A,UPDATE,framing_type,Unknown,Vertical Neutral Low
Pole,229024070,N/A,UPDATE,framing_type,Unknown,Vertical Neutral Low
Pole,229024166,N/A,UPDATE,framing_type,Unknown,Vertical Neutral Low
OH Primary,215460868,N/A,UPDATE,installed_length,54,55
Audit History,165071223,N/A,INSERT,,,
Audit History,165073442,N/A,INSERT,,,
Audit History,165073474,N/A,INSERT,,,
Audit History,165070398,N/A,INSERT,,,
Audit History,165072836,N/A,INSERT,,,
Audit History,165071250,N/A,INSERT,,,
Audit History,165071346,N/A,INSERT,,,
Cable Segment Delta,527272119,N/A,INSERT,,,
Cable Segment Delta,527272151,N/A,INSERT,,,
Cable Segment Delta,527272183,N/A,INSERT,,,
Cable Segment Delta,527272752,N/A,INSERT,,,
Pole,229024669,N/A,UPDATE,framing_type,Unknown,Horizontal Neutral Low
OH Fuse,234043138,N/A,UPDATE,type,Unknown,Cutout
OH Fuse,234043138,N/A,UPDATE,facility_tag_x,unset,71
OH Fuse,234043138,N/A,UPDATE,facility_tag_y,unset,650
OH Fuse,234043138,N/A,UPDATE,map_unit_x,unset,2132
OH Fuse,234043138,N/A,UPDATE,map_unit_y,unset,114
OH Fuse,234043138,N/A,GEOM UPDATE,location,point (1),"point (2) - Moved 54' 3.54"""
OH Fuse,234043138,N/A,GEOM UPDATE,actual_location,point (1),"point (2) - Moved 52' 9.41"""
Audit History,165071154,N/A,INSERT,,,
Audit History,165070489,N/A,INSERT,,,
Audit History,165071186,N/A,INSERT,,,
Audit History,165071122,N/A,INSERT,,,
Cable Segment Delta,527272104,N/A,INSERT,,,
Cable Segment Delta,527272136,N/A,INSERT,,,
Cable Segment Delta,527272769,N/A,INSERT,,,
Cable Segment Delta,527271944,N/A,INSERT,,,
Audit History,165073935,N/A,INSERT,,,
Audit History,165073967,N/A,INSERT,,,
Audit History,165073270,N/A,INSERT,,,
Audit History,165073302,N/A,INSERT,,,
Cable Segment Delta,527275181,N/A,INSERT,,,
Cable Segment Delta,527274796,N/A,INSERT,,,
Cable Segment Delta,527272045,N/A,INSERT,,,
Cable Segment Delta,527272077,N/A,INSERT,,,
Cable Segment Delta,527272109,N/A,INSERT,,,
Cable Segment Delta,527272141,N/A,INSERT,,,
Audit History,165074925,N/A,INSERT,,,
Audit History,165074100,N/A,INSERT,,,
Cable Segment Delta,527272474,N/A,INSERT,,,
Cable Segment Delta,527272506,N/A,INSERT,,,
Cable Segment Delta,527272666,N/A,INSERT,,,
Audit History,165075290,N/A,INSERT,,,
Audit History,165075322,N/A,INSERT,,,
Audit History,165075354,N/A,INSERT,,,
Audit History,165075386,N/A,INSERT,,,
Cable Segment Delta,527271976,N/A,INSERT,,,
Cable Segment Delta,527272040,N/A,INSERT,,,
Cable Segment Delta,527272072,N/A,INSERT,,,
Cable Segment Delta,527272168,N/A,INSERT,,,
