Object Name,Object Id,Feeder Name,Child Object,Child ID,Remarks
Electric XY,82992999,ARVA1700,,,
Electric XY,82993539,ARVA1700,,,
Electric XY,82993887,ARVA1700,,,
Electric XY,82985843,ARVA1700,,,
Electric XY,82105823,ARVA1700,,,
Electric XY,82993199,ARVA1700,,,
Electric XY,82994323,ARVA1700,,,
Electric XY,82994439,ARVA1700,,,
Electric XY,82985763,ARVA1700,,,
Electric XY,79211411,ARVA1700,,,
Electric XY,82993047,ARVA1700,,,
OH Fuse,234040198,ARVA1700,,,
OH Fuse,125326135,ARVA1700,,,
OH Fuse,156844254,ARVA1700,,,
OH Fuse,234073678,ARVA1700,OH Fuse Unit,402396655,
OH Fuse,234073678,ARVA1700,OH Fuse Unit,234073686,
OH Fuse,233911053,ARVA1700,OH Fuse Unit,233911066,
OH Fuse,233911053,ARVA1700,OH Fuse Unit,233911065,
OH Fuse,234040198,ARVA1700,OH Fuse Unit,234040204,
OH Fuse,234040198,ARVA1700,OH Fuse Unit,234040205,
OH Fuse,234073652,ARVA1700,OH Fuse Unit,234073661,
OH Fuse,234073652,ARVA1700,OH Fuse Unit,234073662,
OH Fuse,156844254,ARVA1700,OH Fuse Unit,157289674,
OH Fuse,234040198,ARVA1700,OH Fuse Unit,234040206,
OH Fuse,125326135,ARVA1700,OH Fuse Unit,125326144,
OH Fuse,125326135,ARVA1700,OH Fuse Unit,125326146,
OH Fuse,125326135,ARVA1700,OH Fuse Unit,125326148,
OH Fuse,233908410,ARVA1700,OH Fuse Unit,476417176,
OH Primary,217525906,ARVA1700,,,
OH Primary,114326904,ARVA1700,,,
OH Primary,217500439,ARVA1700,,,
OH Primary,221612561,ARVA1700,,,
OH Primary,217524478,ARVA1700,,,
OH Primary,217526191,ARVA1700,,,
OH Primary,217411054,ARVA1700,,,
OH Primary,474844921,ARVA1700,,,
OH Primary,217410929,ARVA1700,,,
OH Primary,114326926,ARVA1700,,,
OH Primary,217501643,ARVA1700,,,
OH Primary,459758435,ARVA1700,,,
OH Primary,217409579,ARVA1700,,,
OH Primary,217524331,ARVA1700,,,
OH Primary,217515635,ARVA1700,,,
OH Primary,217409593,ARVA1700,,,
OH Primary,459758690,ARVA1700,,,
OH Primary,217519312,ARVA1700,,,
OH Primary,217524935,ARVA1700,,,
