Object Name,GESW Id,Field ID,Import Process,Object Status,Parent Id,Remarks
edist_oh_primary,526282775,-46030360,Insert,Imported,,
edist_oh_primary,526282789,-46030620,Insert,Imported,,
edist_oh_primary,526282803,-50025067,Insert,Imported,,
edist_oh_primary,526282813,-54038996,Insert,Imported,,
edist_oh_primary,526282829,-50025079,Insert,Imported,,
edist_oh_primary,526282837,-50024599,Insert,Imported,,
edist_oh_primary,526282845,-46030113,Insert,Imported,,
edist_oh_primary,527631555,-46030135,Insert,Imported,,
edist_oh_primary,527631577,-50025098,Insert,Imported,,
edist_oh_primary,527631585,-44027326,Insert,Imported,,
edist_oh_primary,527631593,-44027539,Insert,Imported,,
edist_oh_primary,453833960,453833960,Update,Imported,,
edist_oh_primary,216967466,216967466,Update,Imported,,
edist_oh_primary,216967149,216967149,Update,Imported,,
edist_oh_primary,216966923,216966923,Update,Imported,,
edist_oh_primary,216841483,216841483,Update,Imported,,
edist_oh_primary,216840763,216840763,Update,Imported,,
edist_oh_primary,216835817,216835817,Update,Imported,,
edist_oh_primary,216839795,216839795,Update,Imported,,
edist_oh_primary,216840294,216840294,Update,Imported,,
edist_oh_primary,216841267,216841267,Update,Imported,,
edist_oh_primary,400758095,400758095,Update,Imported,,
edist_oh_primary,216966887,216966887,Update,Imported,,
edist_oh_primary,216954584,216954584,Update,Imported,,
edist_oh_primary,453833755,453833755,Update,Imported,,
edist_oh_primary,216967092,216967092,Update,Imported,,
edist_oh_primary,216949015,216949015,Update,Imported,,
edist_oh_primary,216931663,216931663,Update,Imported,,
edist_oh_primary,216967260,216967260,Update,Imported,,
edist_oh_primary,420182684,420182684,Update,Imported,,
edist_oh_primary,216841847,216841847,Update,Imported,,
edist_oh_primary,216841813,216841813,Update,Imported,,
edist_oh_primary,216821945,216821945,Update,Imported,,
edist_oh_primary,216841197,216841197,Update,Imported,,
edist_oh_primary,216841281,216841281,Update,Imported,,
edist_oh_primary,216931651,216931651,Update,Imported,,
edist_oh_primary,216937654,216937654,Update,Imported,,
edist_oh_primary,437633959,437633959,Update,Imported,,
edist_oh_primary,216966949,216966949,Update,Imported,,
edist_oh_primary,216967620,216967620,Update,Imported,,
edist_oh_primary,216819494,216819494,Update,Imported,,
edist_oh_primary,216949203,216949203,Update,Imported,,
edist_oh_primary,216966911,216966911,Update,Imported,,
edist_oh_primary,216966782,216966782,Update,Imported,,
edist_oh_primary,216931680,216931680,Update,Imported,,
edist_oh_primary,216966935,216966935,Update,Imported,,
edist_oh_primary,216966670,216966670,Update,Imported,,
edist_oh_primary,216821931,216821931,Update,Imported,,
edist_oh_primary,216967136,216967136,Update,Imported,,
edist_oh_primary,216821769,216821769,Update,Imported,,
edist_oh_primary,216839972,216839972,Update,Imported,,
edist_oh_primary,216949093,216949093,Update,Imported,,
edist_oh_primary,216839956,216839956,Update,Imported,,
edist_oh_primary,216966899,216966899,Update,Imported,,
edist_oh_primary,348810898,348810898,Update,Imported,,
edist_oh_primary,400961733,400961733,Update,Imported,,
edist_oh_primary,216954613,216954613,Update,Imported,,
edist_oh_primary,216819292,216819292,Update,Imported,,
edist_oh_primary,216967272,216967272,Update,Imported,,
edist_oh_primary,216966770,216966770,Update,Imported,,
edist_oh_primary,400758318,400758318,Update,Imported,,
edist_oh_primary,216966401,216966401,Update,Imported,,
edist_oh_primary,112389627,112389627,Update,Imported,,
edist_oh_primary,216949227,216949227,Update,Imported,,
edist_oh_primary,216841295,216841295,Update,Imported,,
edist_oh_primary,216820819,216820819,Update,Imported,,
edist_oh_primary,216840793,216840793,Update,Imported,,
edist_oh_primary,400961647,400961647,Update,Imported,,
edist_oh_primary,220813448,220813448,Update,Imported,,
edist_oh_primary,216937622,216937622,Update,Imported,,
edist_oh_primary,216819615,216819615,Update,Imported,,
edist_oh_primary,216839984,216839984,Update,Imported,,
edist_oh_primary,216819518,216819518,Update,Imported,,
edist_oh_primary,432068604,432068604,Update,Imported,,
edist_oh_primary,216949215,216949215,Update,Imported,,
edist_oh_primary,216967002,216967002,Update,Imported,,
edist_oh_primary,216931694,216931694,Update,Imported,,
edist_oh_primary,400961714,400961714,Update,Imported,,
edist_oh_primary,216841757,216841757,Update,Imported,,
edist_oh_primary,216840780,216840780,Update,Imported,,
edist_oh_primary,437634454,437634454,Update,Imported,,
edist_oh_primary,216821801,216821801,Update,Imported,,
edist_oh_primary,216840418,216840418,Update,Imported,,
edist_oh_primary,216840685,216840685,Update,Imported,,
edist_oh_primary,216840955,216840955,Update,Imported,,
edist_oh_primary,216819627,216819627,Update,Imported,,
edist_oh_primary,410071079,410071079,Update,Imported,,
edist_oh_primary,216835786,216835786,Update,Imported,,
edist_oh_primary,216840224,216840224,Update,Imported,,
edist_oh_primary,216821709,216821709,Update,Imported,,
edist_oh_primary,216839508,216839508,Update,Imported,,
edist_oh_primary,220813429,220813429,Update,Imported,,
edist_oh_primary,216840446,216840446,Update,Imported,,
edist_oh_primary,453833623,453833623,Update,Imported,,
edist_oh_primary,216966349,216966349,Update,Imported,,
edist_oh_primary,216967288,216967288,Update,Imported,,
edist_oh_primary,216840210,216840210,Update,Imported,,
edist_oh_primary,216841771,216841771,Update,Imported,,
edist_oh_primary,216841908,216841908,Update,Imported,,
edist_oh_primary,216840671,216840671,Update,Imported,,
edist_oh_primary,216840432,216840432,Update,Imported,,
edist_oh_primary,216841559,216841559,Update,Imported,,
edist_oh_primary,216972088,216972088,Update,Imported,,
edist_oh_primary,216949327,216949327,Update,Imported,,
edist_oh_primary,216840014,216840014,Update,Imported,,
edist_oh_primary,400758353,400758353,Update,Imported,,
edist_oh_primary,216841396,216841396,Update,Imported,,
edist_oh_primary,216967181,216967181,Update,Imported,,
edist_oh_primary,400758338,400758338,Update,Imported,,
edist_oh_primary,216949065,216949065,Update,Imported,,
edist_oh_primary,216821829,216821829,Update,Imported,,
edist_oh_primary,216954725,216954725,Update,Imported,,
edist_oh_primary,400961763,400961763,Update,Imported,,
edist_oh_primary,216967016,216967016,Update,Imported,,
edist_oh_primary,437633519,437633519,Update,Imported,,
edist_oh_primary,216819575,216819575,Update,Imported,,
edist_oh_primary,216949351,216949351,Update,Imported,,
edist_oh_primary,216821815,216821815,Update,Imported,,
edist_oh_primary,216972149,216972149,Update,Imported,,
edist_oh_primary,154167362,154167362,Update,Imported,,
edist_oh_primary,216931785,216931785,Update,Imported,,
edist_oh_primary,453833815,453833815,Update,Imported,,
edist_oh_primary,216841577,216841577,Update,Imported,,
edist_oh_primary,216840703,216840703,Update,Imported,,
edist_oh_primary,413558988,413558988,Update,Imported,,
edist_oh_primary,400757881,400757881,Update,Imported,,
edist_oh_primary,216840238,216840238,Update,Imported,,
