Object Name,Object Id,Feeder Name,Child Object,Child ID,Remarks
OH Primary,216841329,DAKO1501,,,
OH Primary,220320633,DAKO1501,,,
OH Primary,216821871,DAKO1501,,,
OH Primary,221327175,DAKO1501,,,
OH Primary,400758238,DAKO1501,,,
OH Primary,216931773,DAKO1501,,,
OH Primary,216821723,DAKO1501,,,
OH Primary,216949003,DAKO1501,,,
OH Primary,400758710,DAKO1501,,,
OH Primary,401523835,DAKO1501,,,
OH Primary,400961840,DAKO1501,,,
OH Primary,400961807,DAKO1501,,,
OH Primary,220320647,DAKO1501,,,
OH Primary,396783781,DAKO1501,,,
OH Primary,216841861,DAKO1501,,,
OH Primary,216840517,DAKO1501,,,
OH Primary,112389660,DAKO1501,,,
OH Primary,220813429,DAKO1501,Primary Wire,220813433,
OH Primary,221327175,DAKO1501,Primary Wire,221327176,
OH Primary,221327175,DAKO1501,Primary Wire,221327177,
OH Primary,221327175,DAKO1501,Primary Wire,221327178,
OH Primary,216821871,DAKO1501,Primary Wire,476799589,
OH Primary,112389660,DAKO1501,Primary Wire,146803954,
OH Primary,401523835,DAKO1501,Primary Wire,401523842,
OH Primary,400961807,DAKO1501,Primary Wire,400961814,
OH Primary,401523835,DAKO1501,Primary Wire,401523844,
OH Primary,400961807,DAKO1501,Primary Wire,400961816,
OH Primary,401523835,DAKO1501,Primary Wire,401523846,
OH Primary,400961807,DAKO1501,Primary Wire,400961818,
OH Primary,401523835,DAKO1501,Primary Wire,401523848,
OH Primary,154167347,DAKO1501,Primary Wire,154167358,
OH Primary,216841861,DAKO1501,Primary Wire,476799989,
OH Primary,216931773,DAKO1501,Primary Wire,216931774,
OH Primary,112389660,DAKO1501,Primary Wire,146803956,
OH Primary,400758238,DAKO1501,Primary Wire,400758252,
OH Primary,154167317,DAKO1501,Primary Wire,154167328,
OH Primary,420182736,DAKO1501,Primary Wire,420182752,
OH Primary,216949003,DAKO1501,Primary Wire,216949004,
OH Primary,400758238,DAKO1501,Primary Wire,400758254,
OH Primary,420182684,DAKO1501,Primary Wire,420182691,
OH Primary,420182760,DAKO1501,Primary Wire,420182772,
OH Primary,220320647,DAKO1501,Primary Wire,220320648,
OH Primary,220320633,DAKO1501,Primary Wire,220320634,
OH Primary,216841861,DAKO1501,Primary Wire,476799988,
OH Primary,112389660,DAKO1501,Primary Wire,112389671,
OH Primary,112389660,DAKO1501,Primary Wire,112389673,
OH Primary,400758710,DAKO1501,Primary Wire,400758722,
OH Primary,400758710,DAKO1501,Primary Wire,400758724,
OH Primary,216841861,DAKO1501,Primary Wire,216841865,
OH Primary,400758710,DAKO1501,Primary Wire,400758726,
OH Primary,216840517,DAKO1501,Primary Wire,216840520,
OH Primary,400758710,DAKO1501,Primary Wire,400758728,
OH Primary,220320647,DAKO1501,Primary Wire,220320650,
OH Primary,400961840,DAKO1501,Primary Wire,400961857,
OH Primary,112389295,DAKO1501,Primary Wire,112389306,
OH Primary,216954764,DAKO1501,Primary Wire,216954766,
OH Primary,400961840,DAKO1501,Primary Wire,400961861,
OH Primary,216821723,DAKO1501,Primary Wire,216821724,
OH Primary,216821723,DAKO1501,Primary Wire,216821725,
OH Primary,216821723,DAKO1501,Primary Wire,216821726,
OH Primary,400758238,DAKO1501,Primary Wire,400758250,
OH Primary,216821871,DAKO1501,Primary Wire,216821872,
OH Primary,400758238,DAKO1501,Primary Wire,400758256,
OH Primary,400961840,DAKO1501,Primary Wire,400961863,
OH Primary,220320647,DAKO1501,Primary Wire,220320649,
OH Primary,216967620,DAKO1501,Primary Wire,216967626,
OH Primary,216840517,DAKO1501,Primary Wire,216840518,
OH Primary,216840517,DAKO1501,Primary Wire,216840519,
OH Primary,154167332,DAKO1501,Primary Wire,154167343,
OH Primary,400961840,DAKO1501,Primary Wire,400961859,
OH Primary,400961807,DAKO1501,Primary Wire,400961820,
OH Primary,154167362,DAKO1501,Primary Wire,154167373,
OH Primary,216841329,DAKO1501,Primary Wire,216841332,
OH Primary,216841329,DAKO1501,Primary Wire,216841333,
OH Primary,216841329,DAKO1501,Primary Wire,216841334,
OH Primary,216841861,DAKO1501,Primary Wire,216841864,
OH Primary,400961763,DAKO1501,Primary Wire,400961770,
OH Primary,220320633,DAKO1501,Primary Wire,220320635,
OH Primary,220320633,DAKO1501,Primary Wire,220320636,
OH Primary,216840517,DAKO1501,Primary Wire,216840521,
OH Primary,216821871,DAKO1501,Primary Wire,216821873,
OH Primary,396783781,DAKO1501,Primary Wire,396783787,
OH Primary,396783781,DAKO1501,Primary Wire,396783788,
OH Primary,396783781,DAKO1501,Primary Wire,396783789,
UG Primary,388317227,DAKO1501,,,
UG Primary,388317227,DAKO1501,Primary Cable,388317233,
UG Primary,388317227,DAKO1501,Primary Cable,388317234,
UG Primary,388317227,DAKO1501,Primary Cable,388317235,
Pole,402333383,DAKO1501,,,
Pole,229527783,DAKO1501,,,
Pole,229491771,DAKO1501,,,
Pole,229491342,DAKO1501,,,
Pole,229491224,DAKO1501,,,
Pole,229527584,DAKO1501,,,
Pole,229492370,DAKO1501,,,
Pole,229491672,DAKO1501,,,
Pole,229629932,DAKO1501,,,
Pole,229666235,DAKO1501,,,
Pole,229491640,DAKO1501,,,
Pole,229666638,DAKO1501,,,
Pole,229648519,DAKO1501,,,
Pole,229491311,DAKO1501,,,
Pole,229529231,DAKO1501,,,
Pole,229491658,DAKO1501,,,
Pole,229528695,DAKO1501,,,
Pole,229672996,DAKO1501,,,
Pole,229491293,DAKO1501,,,
Pole,229491284,DAKO1501,,,
Pole,229491199,DAKO1501,,,
Pole,229527936,DAKO1501,,,
Pole,348726764,DAKO1501,,,
Pole,229527577,DAKO1501,,,
Pole,229529181,DAKO1501,,,
Pole,229527790,DAKO1501,,,
Pole,352495341,DAKO1501,,,
Pole,400757840,DAKO1501,Pole Attachment,375316245,
Pole,400961492,DAKO1501,Pole Attachment,375316239,
Pole,229528695,DAKO1501,Pole Attachment,375320781,
Pole,359347362,DAKO1501,Pole Attachment,375316229,
Pole,359347362,DAKO1501,Pole Attachment,375316230,
Pole,229528695,DAKO1501,Pole Attachment,375320782,
Pole,400961567,DAKO1501,Pole Attachment,375316198,
Pole,400961567,DAKO1501,Pole Attachment,375316199,
Pole,229492370,DAKO1501,Pole Attachment,375316328,
Pole,229492370,DAKO1501,Pole Attachment,375316329,
Pole,400758394,DAKO1501,Pole Attachment,375316261,
Pole,400961492,DAKO1501,Pole Attachment,375316238,
Pole,229490275,DAKO1501,Pole Attachment,375316090,
Pole,229527650,DAKO1501,Pole Attachment,375320643,
Pole,229527650,DAKO1501,Pole Attachment,375320644,
Pole,229529231,DAKO1501,Pole Attachment,375320810,
Pole,229648519,DAKO1501,Pole Attachment,375335056,
Pole,229648519,DAKO1501,Pole Attachment,375335057,
Pole,229648519,DAKO1501,Pole Attachment,457807673,
Pole,400757800,DAKO1501,Pole Attachment,375316242,
Pole,400757800,DAKO1501,Pole Attachment,375316243,
Pole,400757840,DAKO1501,Pole Attachment,375316244,
OH Transformer Bank,236223326,DAKO1501,,,
OH Transformer Bank,236223326,DAKO1501,OH Transformer Bank Unit,476486585,
Distributed Generation,349234357,DAKO1501,,,
Fault Indicator,400962108,DAKO1501,,,
Electric XY,82712179,DAKO1501,,,
Electric XY,82711811,DAKO1501,,,
Electric XY,402333387,DAKO1501,,,
Electric XY,82690375,DAKO1501,,,
Electric XY,82690779,DAKO1501,,,
Electric XY,82781119,DAKO1501,,,
Primary Structure Node,400961673,DAKO1501,,,
Primary Structure Node,94718750,DAKO1501,,,
Primary Structure Node,94723314,DAKO1501,,,
Primary Structure Node,94763142,DAKO1501,,,
Primary Structure Node,94718982,DAKO1501,,,
Primary Structure Node,400756611,DAKO1501,,,
Primary Structure Node,94763194,DAKO1501,,,
Primary Structure Node,95251322,DAKO1501,,,
Primary Structure Node,94718666,DAKO1501,,,
Primary Structure Node,146803962,DAKO1501,,,
Primary Structure Node,94723626,DAKO1501,,,
Primary Structure Node,402333465,DAKO1501,,,
Primary Structure Node,94723574,DAKO1501,,,
Primary Structure Node,94723322,DAKO1501,,,
Primary Structure Node,94754644,DAKO1501,,,
OH Fuse,401523179,DAKO1501,,,
OH Fuse,401523179,DAKO1501,OH Fuse Unit,401523196,
OH Fuse,401523179,DAKO1501,OH Fuse Unit,401523192,
OH Fuse,401523179,DAKO1501,OH Fuse Unit,401523194,
