Object Name,Exported Object Count,Object Count Identified For Import,Import Objects Count,Failed Objects Count
edist_oh_primary,343,342,342,0
edist_primary_wire,841,834,834,0
edist_ug_primary,81,5,5,0
edist_primary_cable,213,5,5,0
edist_ug_secondary,0,0,0,0
edist_oh_secondary,0,0,0,0
edist_secondary_wire,0,0,0,0
edist_pole,365,359,358,1
edist_pole_attachment,591,0,0,0
edist_anchor_guy,53,0,0,0
edist_riser,0,0,0,0
edist_oh_transformer_bank,127,129,129,0
edist_oh_transformer_unit,153,152,151,1
edist_ug_transformer,26,26,26,0
edist_ug_transformer_unit,26,6,6,0
land_lot_centroid,1832,1734,1734,0
edist_pedestal,0,0,0,0
distributed_generation,40,42,42,0
edist_area_light,12,0,0,0
edist_brace,0,0,0,0
edist_capacitor_rack,1,1,1,0
edist_cogeneration,0,0,0,0
edist_switching_facility,3,2,2,0
edist_fault_indicator,0,1,1,0
edist_oh_ato,0,0,0,0
electric_xy,376,8,8,0
edist_primary_structure_node,442,10,10,0
edist_secondary_structure_node,438,0,0,0
edist_oh_fuse,38,38,38,0
edist_oh_fuse_unit,90,30,30,0
edist_primary_meter,0,0,0,0
edist_primary_open_point,4,5,5,0
edist_primary_splice,7,0,0,0
edist_recloser_bank,1,1,1,0
edist_recloser_unit,1,1,1,0
edist_regulator_bank,0,0,0,0
edist_secondary_open_point,0,0,0,0
edist_sectionalizer_bank,0,0,0,0
edist_sectionalizer_unit,0,0,0,0
edist_ug_service,0,0,0,0
edist_oh_service,0,0,0,0
edist_service_wire,0,0,0,0
edist_splice_box,0,0,0,0
edist_step_transformer_bank,0,0,0,0
edist_street_light,73,0,0,0
edist_ug_ato,0,0,0,0
edist_h_fixture,0,0,0,0
edist_ug_switch,5,0,0,0
edist_ug_fuse,4,0,0,0
edist_nonmetered_facility,0,0,0,0
edist_oh_switch,21,23,23,0
edist_oh_switch_unit,53,5,5,0
edist_secondary_transformer,0,0,0,0
edist_pad,20,0,0,0
